CPI,MWR
84.07,191
85.57,191
85.57,191
86.63,191
87.97,194
90.97,203
90.63,203
87.83,203
87.27,203
88.47,203
88.70,203
89.00,203
89.88,206
90.72,206
91.23,206
91.38,206
92.34,215
94.45,215
94.81,215
94.95,215
95.40,215
96.83,300
97.85,300
98.30,300
98.55,300
98.90,300
99.18,300
99.57,300
100.18,300
100.78,300
100.66,300
100.32,300
99.83,300
100.21,300
100.08,300
99.88,300
99.53,300
100.39,300
100.24,300
100.41,300
100.41,310
100.44,310
100.61,310
101.13,310
101.09,310
101.80,325
102.15,325
102.19,325
