CPI,MWR
82.10,163.42
83.53,163.42
83.53,163.42
84.90,163.42
86.40,165.50
90.67,168.31
90.50,168.31
87.47,173.08
86.70,173.08
88.10,173.08
88.63,173.08
89.43,173.08
90.27,176.69
91.25,176.69
91.41,176.69
91.68,176.69
92.81,187.50
94.41,187.50
94.85,187.50
95.35,187.50
95.71,187.50
96.69,261.42
97.60,261.42
97.79,261.42
98.20,300.00
98.78,300.00
98.94,300.00
99.29,300.00
100.22,300.00
101.51,300.00
101.36,300.00
100.91,300.00
99.85,300.00
100.18,300.00
100.14,300.00
99.81,300.00
99.28,300.00
100.53,300.00
100.24,300.00
100.36,300.00
100.61,306.65
100.68,306.65
101.02,306.65
101.73,306.65
101.56,306.65
102.28,319.88
102.59,319.88
102.63,319.88
