CPI,MWR
80.87,147.12
82.50,147.12
83.10,147.12
84.13,147.12
85.43,148.35
90.37,149.35
90.27,149.35
86.50,153.88
85.57,153.88
87.17,153.88
87.57,153.88
88.27,153.88
89.43,155.18
90.37,155.18
90.76,155.18
91.05,155.18
92.36,164.59
94.66,164.59
95.69,164.59
95.33,164.59
96.09,164.59
97.05,230.53
97.59,230.53
98.02,230.53
98.65,300.00
99.37,300.00
99.86,300.00
100.09,300.00
100.82,300.00
101.91,300.00
101.88,300.00
101.14,300.00
100.04,300.00
100.21,300.00
100.08,300.00
99.66,300.00
99.11,300.00
100.45,300.00
100.23,300.00
100.42,300.00
100.34,305.18
100.16,305.18
100.52,305.18
101.15,305.18
100.59,305.18
100.99,312.35
101.48,312.35
101.07,312.35
