CPI,MWR
80.20,153.43
81.33,153.43
81.13,153.43
82.67,153.43
84.37,155.71
88.27,155.71
88.27,159.14
85.37,161.00
84.90,161.00
86.50,161.00
87.17,161.00
87.97,161.00
88.87,165.57
89.83,165.57
89.91,165.57
90.51,165.57
91.84,178.93
93.50,178.93
94.35,178.93
94.55,178.93
95.63,178.93
96.65,249.00
97.54,249.00
97.86,249.00
98.55,300.00
98.80,300.00
99.25,300.00
99.70,300.00
100.59,300.00
101.83,300.00
101.50,300.00
101.12,300.00
100.02,300.00
100.24,300.00
100.02,300.00
99.71,300.00
99.21,300.00
100.41,300.00
100.41,300.00
100.62,300.00
101.18,303.71
100.99,303.71
100.93,303.71
101.66,303.71
101.61,303.71
102.13,314.21
102.45,314.21
102.43,314.21
