CPI,MWR
77.73,191.00
78.57,191.00
78.57,191.00
79.47,191.00
80.71,194.00
84.04,203.00
84.13,203.00
77.04,203.00
82.23,203.00
83.73,203.00
84.16,203.00
84.99,203.00
86.09,205.20
87.56,205.20
88.41,205.20
88.65,205.20
89.30,215.00
92.13,215.00
92.59,215.00
93.44,215.00
93.65,215.00
95.16,300.00
96.11,300.00
97.31,300.00
98.23,300.00
99.12,300.00
99.43,300.00
99.87,300.00
101.05,300.00
101.85,300.00
101.39,300.00
100.85,300.00
99.70,300.00
100.39,300.00
100.24,300.00
99.77,300.00
99.39,300.00
100.88,300.00
100.57,300.00
100.85,300.00
100.81,310.00
100.86,310.00
100.79,310.00
101.43,310.00
101.35,310.00
102.19,325.00
102.73,325.00
103.02,325.00
