Unemrate,MWR
 1.2 ,163.42
 1.5 ,163.42
 1.4 ,163.42
 1.3 ,163.42
 1.3 ,165.50
 1.3 ,168.31
 1.4 ,168.31
 1.5 ,173.08
 1.9 ,173.08
 1.6 ,173.08
 1.3 ,173.08
 1.1 ,173.08
 1.1 ,176.69
 1.3 ,176.69
 1.0 ,176.69
 0.9 ,176.69
 0.7 ,187.50
 0.6 ,187.50
 0.6 ,187.50
 0.7 ,187.50
 0.7 ,187.50
 0.8 ,261.42
 0.6 ,261.42
 0.6 ,261.42
 0.6 ,300.00
 0.8 ,300.00
 0.8 ,300.00
 0.7 ,300.00
 0.8 ,300.00
 1.1 ,300.00
 0.9 ,300.00
 0.6 ,300.00
 1.0 ,300.00
 0.8 ,300.00
 1.0 ,300.00
 0.9 ,300.00
 1.0 ,300.00
 1.0 ,300.00
 1.0 ,300.00
 0.9 ,300.00
