Unemrate,MWR
1.6,147.1176471
1.8,147.1176471
1.3,147.1176471
1,147.1176471
1.6,148.3529412
1.3,149.3529412
1.1,149.3529412
1,153.8823529
1.8,153.8823529
1.4,153.8823529
1.2,153.8823529
0.7,153.8823529
0.9,155.1764706
1.1,147.1176471
0.8,147.1176471
0.7,147.1176471
0.8,148.3529412
0.5,149.3529412
0.6,149.3529412
0.4,153.8823529
0.7,153.8823529
0.9,153.8823529
0.6,153.8823529
0.3,153.8823529
0.4,155.1764706
0.5,155.1764706
0.7,147.1176471
0.6,147.1176471
0.7,148.3529412
0.8,149.3529412
0.7,149.3529412
0.6,153.8823529
0.8,153.8823529
0.8,153.8823529
0.8,153.8823529
0.7,153.8823529
1,155.1764706
0.9,155.1764706
1,155.1764706
1,147.1176471
